Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,0.01,2
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,0.01,hours
